Fe,Co,Cr,Ni,Al,Ti
21,14,17,41,5,2
22,22,16,31,7,2
17,22,16,39,4,2
16,22,16,40,4,2
15,22,16,41,4,2
21,21,16,35,5,2
21,20,16,36,5,2
22,18,16,34,8,2
22,14,16,42,4,2
22,13,16,43,4,2
22,14,17,38,7,2
22,20,16,32,8,2
22,19,16,33,8,2
21,16,17,38,6,2
22,22,16,33,5,2
22,19,16,34,7,2
20,17,16,38,7,2
22,16,17,39,4,2
21,20,16,38,4,1
20,16,16,38,8,2
22,13,17,38,8,2
21,15,19,39,4,2
21,16,18,39,4,2
21,14,19,40,4,2
21,15,18,40,4,2
21,13,19,41,4,2
21,14,18,41,4,2
22,23,16,29,8,2
22,18,16,35,7,2
22,23,16,31,6,2
22,23,16,27,10,2
20,17,16,41,4,2
22,20,16,33,7,2
22,15,17,40,4,2
22,14,17,41,4,2
22,23,16,28,9,2
21,21,16,30,10,2
21,21,17,35,4,2
22,21,16,31,8,2
21,20,17,36,4,2
21,16,17,37,7,2
22,23,16,30,7,2
20,16,16,39,7,2
20,15,16,40,7,2
20,14,16,41,7,2
22,19,16,31,10,2
20,15,16,39,8,2
20,14,16,40,8,2
20,13,16,41,8,2
22,17,16,35,8,2
22,16,16,36,8,2
21,13,19,38,7,2
21,14,18,38,7,2
21,13,16,42,6,2
21,20,16,35,6,2
21,15,17,37,8,2
22,18,16,32,10,2
22,18,17,37,4,2
22,19,16,32,9,2
22,20,16,31,9,2
21,22,13,38,4,2
21,13,18,38,8,2
22,18,16,33,9,2
22,21,16,32,7,2
22,19,16,38,4,1
21,18,18,37,4,2
22,23,17,32,4,2
21,15,17,39,6,2
21,14,17,40,6,2
21,13,17,41,6,2
22,22,16,30,8,2
19,21,16,38,4,2
22,13,17,39,7,2
21,18,17,37,5,2
21,19,16,39,4,1
21,18,16,40,4,1
21,23,19,31,4,2
21,23,18,32,4,2
15,22,16,38,7,2
21,13,17,37,10,2
20,23,16,35,4,2
21,21,16,34,6,2
22,16,16,34,10,2
22,15,16,35,10,2
22,14,16,36,10,2
21,23,17,32,5,2
21,19,16,36,6,2
21,14,17,37,9,2
22,22,16,32,6,2
22,17,16,34,9,2
22,16,16,35,9,2
22,15,16,36,9,2
21,14,17,42,4,2
21,13,17,43,4,2
20,14,16,38,10,2
22,17,16,33,10,2
22,22,16,28,10,2
22,20,16,35,5,2
20,15,16,38,9,2
22,17,16,36,7,2
21,13,18,39,7,2
22,22,16,29,9,2
20,21,16,37,4,2
21,22,17,31,7,2
20,19,16,38,5,2
22,16,17,38,5,2
20,13,16,39,10,2
21,17,16,38,7,1
22,18,16,39,4,1
22,17,16,37,6,2
22,21,16,34,5,2
20,14,16,39,9,2
20,13,16,40,9,2
22,22,17,33,4,2
22,16,16,38,7,1
21,16,16,38,8,1
22,19,16,36,5,2
21,18,17,34,8,2
22,13,16,42,5,2
16,23,16,38,5,2
18,21,16,39,4,2
17,21,16,40,4,2
16,21,16,41,4,2
19,20,16,39,4,2
19,19,16,40,4,2
19,18,16,41,4,2
22,15,16,38,8,1
21,22,19,32,4,2
21,22,18,33,4,2
21,20,17,32,8,2
21,19,17,33,8,2
21,16,16,39,7,1
21,15,16,40,7,1
21,14,16,41,7,1
21,19,16,38,5,1
21,22,17,33,5,2
20,22,16,36,4,2
21,19,17,34,7,2
18,23,16,37,4,2
20,18,16,39,5,2
21,23,17,29,8,2
22,20,16,30,10,2
21,15,16,39,8,1
21,14,16,40,8,1
21,13,16,41,8,1
21,17,19,37,4,2
15,23,16,38,6,2
21,18,17,35,7,2
21,15,19,38,5,2
21,16,18,38,5,2
16,21,16,38,7,2
21,23,17,31,6,2
20,23,16,31,8,2
22,15,19,38,4,2
22,16,18,38,4,2
15,23,16,39,5,2
22,15,16,39,7,1
21,23,17,27,10,2
20,18,16,38,6,2
22,18,16,38,5,1
21,20,17,33,7,2
19,18,16,38,7,2
21,14,16,38,10,1
20,18,16,37,7,2
15,21,16,39,7,2
21,23,17,28,9,2
21,17,16,41,4,1
22,14,16,39,8,1
21,21,17,31,8,2
20,19,17,38,4,2
21,23,13,38,4,1
21,15,16,38,9,1
22,13,16,38,10,1
18,20,16,40,4,2
18,19,16,41,4,2
16,23,17,38,4,2
21,23,17,30,7,2
17,20,16,41,4,2
19,22,16,37,4,2
22,21,16,29,10,2
21,18,16,39,5,1
21,19,17,31,10,2
22,14,16,40,7,1
22,13,16,41,7,1
21,17,17,35,8,2
21,16,17,36,8,2
22,14,16,38,9,1
22,15,17,39,5,2
22,21,16,30,9,2
21,18,17,32,10,2
21,19,17,32,9,2
21,20,17,31,9,2
21,13,16,39,10,1
22,13,16,40,8,1
20,23,16,32,7,2
22,20,16,34,6,2
22,19,16,35,6,2
21,18,17,33,9,2
18,19,16,38,7,2
17,20,16,38,7,2
21,21,17,32,7,2
15,21,16,38,8,2
21,14,16,39,9,1
21,13,16,40,9,1
17,22,16,38,5,2
21,18,16,38,6,1
22,14,17,40,5,2
22,13,17,41,5,2
21,22,17,30,8,2
16,20,16,39,7,2
17,19,16,39,7,2
15,20,16,40,7,2
16,19,16,40,7,2
15,19,16,41,7,2
21,23,13,37,4,2
20,22,16,32,8,2
16,22,16,39,5,2
15,22,16,40,5,2
22,15,17,38,6,2
18,18,16,39,7,2
22,13,16,39,9,1
17,18,16,40,7,2
16,18,16,41,7,2
21,16,17,34,10,2
21,15,17,35,10,2
21,14,17,36,10,2
22,15,17,37,7,2
21,14,19,39,5,2
21,15,18,39,5,2
21,13,19,40,5,2
21,14,18,40,5,2
21,13,18,41,5,2
22,20,17,35,4,2
16,22,16,38,6,2
21,22,17,32,6,2
22,21,16,33,6,2
21,17,17,34,9,2
21,16,17,35,9,2
21,15,17,36,9,2
22,14,17,37,8,2
21,20,19,34,4,2
21,19,19,35,4,2
21,20,18,35,4,2
15,22,16,39,6,2
21,17,17,33,10,2
21,22,17,28,10,2
21,20,17,35,5,2
16,20,16,38,8,2
17,19,16,38,8,2
22,18,16,36,6,2
22,17,16,40,4,1
22,16,16,41,4,1
21,17,17,36,7,2
21,20,15,38,4,2
17,22,17,38,4,2
15,23,17,39,4,2
20,18,17,39,4,2
21,22,17,29,9,2
18,18,16,38,8,2
20,22,16,33,7,2
15,20,16,39,8,2
16,19,16,39,8,2
15,19,16,40,8,2
20,17,16,40,5,2
20,16,16,41,5,2
22,21,17,34,4,2
22,13,18,38,7,2
19,17,16,38,8,2
21,14,19,38,6,2
21,15,18,38,6,2
22,19,17,36,4,2
21,22,20,31,4,2
20,17,16,37,8,2
17,18,16,39,8,2
16,18,16,40,8,2
15,18,16,41,8,2
21,13,17,42,5,2
21,15,20,38,4,2
22,14,19,39,4,2
22,15,18,39,4,2
21,21,19,33,4,2
21,21,18,34,4,2
22,23,17,31,5,2
19,17,16,39,7,2
19,16,16,40,7,2
19,15,16,41,7,2
19,16,16,39,8,2
19,15,16,40,8,2
19,14,16,41,8,2
21,21,14,38,4,2
21,18,19,36,4,2
21,19,18,36,4,2
21,21,16,37,4,1
21,17,17,37,6,2
15,23,16,37,7,2
22,13,17,37,9,2
21,14,19,37,7,2
21,15,18,37,7,2
21,21,17,34,5,2
21,19,17,36,5,2
21,17,16,40,5,1
21,16,16,41,5,1
20,20,16,34,8,2
20,19,16,35,8,2
21,13,19,37,8,2
21,14,18,37,8,2
21,18,16,37,7,1
22,13,19,40,4,2
22,14,18,40,4,2
22,13,18,41,4,2
22,14,17,39,6,2
20,22,16,31,9,2
20,17,16,39,6,2
20,16,16,40,6,2
20,15,16,41,6,2
21,23,16,35,4,1
20,18,16,36,8,2
21,19,17,38,4,1
22,17,16,39,5,1
21,19,13,38,7,2
22,20,16,37,4,1
21,20,17,30,10,2
20,21,16,33,8,2
22,23,18,31,4,2
16,22,17,39,4,2
15,22,17,40,4,2
20,16,17,38,7,2
20,15,17,38,8,2
22,13,17,40,6,2
18,17,16,40,7,2
18,16,16,41,7,2
17,17,16,41,7,2
21,23,20,30,4,2
18,17,16,39,8,2
17,17,16,40,8,2
18,16,16,40,8,2
16,17,16,41,8,2
17,16,16,41,8,2
18,15,16,41,8,2
22,17,16,38,6,1
20,23,16,34,5,2
19,23,16,36,4,2
22,23,16,34,4,1
20,20,16,35,7,2
20,21,16,34,7,2
21,23,18,31,5,2
22,16,16,40,5,1
22,15,16,41,5,1
15,19,16,38,10,2
21,13,19,39,6,2
21,14,18,39,6,2
21,13,18,40,6,2
20,19,16,36,7,2
21,13,18,37,9,2
21,21,17,29,10,2
20,23,16,29,10,2
16,22,16,37,7,2
21,17,16,39,6,1
21,16,16,40,6,1
21,15,16,41,6,1
16,18,16,38,10,2
21,21,13,39,4,2
15,20,16,38,9,2
16,19,16,38,9,2
22,19,17,32,8,2
22,20,17,31,8,2
21,21,17,30,9,2
20,23,16,30,9,2
20,15,16,37,10,2
21,18,13,38,8,2
22,22,17,32,5,2
20,13,16,42,7,2
20,23,16,33,6,2
21,20,13,40,4,2
21,19,13,41,4,2
17,18,16,38,9,2
19,15,16,38,10,2
22,22,13,38,4,1
22,18,17,33,8,2
21,22,14,38,4,1
21,20,17,34,6,2
21,19,17,35,6,2
15,18,16,39,10,2
15,19,16,39,9,2
22,23,17,28,8,2
20,16,16,37,9,2
22,13,17,42,4,2
22,16,16,39,6,1
22,18,17,34,7,2
21,13,18,42,4,2
19,16,16,38,9,2
20,14,17,39,8,2
20,13,17,40,8,2
20,17,17,40,4,2
20,16,17,41,4,2
16,18,16,39,9,2
15,18,16,40,9,2
19,14,16,39,10,2
19,13,16,40,10,2
22,23,17,26,10,2
21,20,20,33,4,2
21,19,20,34,4,2
22,17,16,37,7,1
22,20,17,32,7,2
22,19,17,33,7,2
20,15,17,39,7,2
20,14,17,40,7,2
20,13,17,41,7,2
19,15,16,39,9,2
19,14,16,40,9,2
19,13,16,41,9,2
20,16,16,42,4,2
20,15,16,43,4,2
20,14,16,44,4,2
20,13,16,45,4,2
22,23,17,27,9,2
22,17,17,37,5,2
21,19,15,39,4,2
21,18,15,40,4,2
21,17,15,41,4,2
21,22,16,36,4,1
18,21,16,38,5,2
22,16,16,37,8,1
19,20,16,38,5,2
22,15,16,40,6,1
22,14,16,41,6,1
15,22,16,37,8,2
22,23,17,29,7,2
20,21,16,31,10,2
21,14,20,39,4,2
21,13,20,40,4,2
22,22,19,31,4,2
22,22,18,32,4,2
21,22,14,37,4,2
22,21,13,38,4,2
22,17,17,34,8,2
22,16,17,35,8,2
22,15,17,36,8,2
21,21,17,33,6,2
21,18,14,38,7,2
20,23,17,34,4,2
20,18,16,34,10,2
21,23,16,31,8,1
20,19,16,34,9,2
22,14,19,38,5,2
22,15,18,38,5,2
20,21,16,32,9,2
17,21,16,39,5,2
16,21,16,40,5,2
15,21,16,41,5,2
17,17,16,38,10,2
18,16,16,38,10,2
19,19,16,39,5,2
22,18,17,31,10,2
22,19,17,31,9,2
22,23,16,31,7,1
21,19,18,32,8,2
21,19,19,31,8,2
21,20,18,31,8,2
20,22,16,35,5,2
22,18,17,38,4,1
21,22,13,39,4,1
20,20,16,32,10,2
20,19,16,33,10,2
22,22,16,35,4,1
20,18,16,35,9,2
21,17,16,37,8,1
21,21,20,32,4,2
22,16,19,37,4,2
22,17,18,37,4,2
21,18,17,36,6,2
19,18,16,40,5,2
18,17,16,38,9,2
20,13,17,38,10,2
22,18,17,32,9,2
21,22,19,31,5,2
21,22,18,32,5,2
20,20,16,37,5,2
22,21,17,31,7,2
21,18,17,39,4,1
16,17,16,39,10,2
17,16,16,39,10,2
18,15,16,39,10,2
15,17,16,40,10,2
16,16,16,40,10,2
17,15,16,40,10,2
18,14,16,40,10,2
15,16,16,41,10,2
16,15,16,41,10,2
17,14,16,41,10,2
18,13,16,41,10,2
21,18,19,32,8,2
21,18,18,33,8,2
21,18,13,39,7,2
21,17,13,40,7,2
21,16,13,41,7,2
20,20,16,33,9,2
21,23,19,27,8,2
21,23,18,28,8,2
22,14,16,37,10,1
21,20,14,39,4,2
21,19,14,40,4,2
21,18,14,41,4,2
20,14,17,38,9,2
21,18,18,34,7,2
22,22,17,29,8,2
17,17,16,39,9,2
18,16,16,39,9,2
16,17,16,40,9,2
17,16,16,40,9,2
18,15,16,40,9,2
15,17,16,41,9,2
16,16,16,41,9,2
17,15,16,41,9,2
18,14,16,41,9,2
21,23,16,32,7,1
22,19,16,37,5,1
21,23,19,25,10,2
21,23,18,26,10,2
20,22,16,30,10,2
22,15,16,37,9,1
22,19,15,38,4,2
20,22,16,34,6,2
21,20,19,31,7,2
21,19,19,32,7,2
21,20,18,32,7,2
21,19,18,33,7,2
17,21,16,38,6,2
17,23,16,37,5,2
19,19,16,38,6,2
18,21,17,38,4,2
21,17,14,38,8,2
22,15,17,34,10,2
22,14,17,35,10,2
22,13,17,36,10,2
19,20,17,38,4,2
22,22,16,31,8,1
21,23,19,26,9,2
21,23,18,27,9,2
21,16,19,37,5,2
21,17,18,37,5,2
17,21,16,37,7,2
19,23,16,32,8,2
19,19,16,37,7,2
21,15,16,37,10,1
21,18,19,33,7,2
21,16,17,38,7,1
22,22,17,31,6,2
22,23,16,33,5,1
18,20,16,39,5,2
18,19,16,40,5,2
17,20,16,40,5,2
16,20,16,41,5,2
17,19,16,41,5,2
21,23,19,28,7,2
21,23,18,29,7,2
22,16,17,34,9,2
22,15,17,35,9,2
22,14,17,36,9,2
22,18,13,38,7,2
22,23,19,30,4,2
16,21,16,39,6,2
15,21,16,40,6,2
21,20,16,37,5,1
22,22,17,30,7,2
21,16,19,34,8,2
21,17,18,34,8,2
21,15,19,35,8,2
21,16,18,35,8,2
21,14,19,36,8,2
21,15,18,36,8,2
21,16,16,37,9,1
20,17,16,35,10,2
18,18,16,41,5,2
22,17,17,32,10,2
22,16,17,33,10,2
22,22,17,27,10,2
21,17,13,39,8,2
21,16,13,40,8,2
21,15,13,41,8,2
21,15,17,38,8,1
19,18,16,39,6,2
22,20,17,34,5,2
22,19,17,35,5,2
21,18,18,31,10,2
21,17,15,38,7,2
21,19,18,31,9,2
20,18,17,38,5,2
21,22,16,32,8,1
20,19,16,37,6,2
20,16,16,36,10,2
16,23,16,37,6,2
17,23,16,34,8,2
16,23,16,35,8,2
22,17,17,35,7,2
22,16,17,36,7,2
22,22,16,32,7,1
20,18,18,38,4,2
22,17,17,33,9,2
22,22,17,28,9,2
21,23,16,34,5,1
22,20,14,38,4,2
21,23,19,30,5,2
21,18,18,32,9,2
21,18,19,31,9,2
15,23,18,38,4,2
21,21,18,31,7,2
20,13,17,39,9,2
20,17,16,36,9,2
21,17,19,33,8,2
15,23,16,36,8,2
21,16,13,38,10,2
15,23,17,38,5,2
20,22,17,35,4,2
22,19,16,34,8,1
21,13,16,42,7,1
19,23,16,33,7,2
22,23,16,32,6,1
21,22,13,38,5,1
22,13,19,39,5,2
22,14,18,39,5,2
18,20,16,38,6,2
21,22,19,28,8,2
21,22,18,29,8,2
22,22,13,37,4,2
20,20,17,37,4,2
21,17,13,38,9,2
18,23,16,33,8,2
18,20,16,37,7,2
17,23,17,37,4,2
16,21,16,37,8,2
21,18,17,38,5,1
22,18,16,35,8,1
21,22,16,33,7,1
22,17,13,38,8,2
15,21,17,38,7,2
22,23,16,30,8,1
21,20,13,38,7,1
22,18,16,37,6,1
18,19,16,39,6,2
22,16,17,37,6,2
21,14,19,34,10,2
21,15,18,34,10,2
21,13,19,35,10,2
21,14,18,35,10,2
21,13,18,36,10,2
17,20,16,39,6,2
16,20,16,40,6,2
17,19,16,40,6,2
15,20,16,41,6,2
16,19,16,41,6,2
22,13,19,37,7,2
22,14,18,37,7,2
22,21,17,33,5,2
19,18,16,37,8,2
22,20,19,33,4,2
22,19,19,34,4,2
22,20,18,34,4,2
22,18,19,35,4,2
22,19,18,35,4,2
22,15,17,38,7,1
22,20,16,33,8,1
17,21,17,39,4,2
16,21,17,40,4,2
15,21,17,41,4,2
22,23,16,28,10,1
19,19,17,39,4,2
19,18,17,40,4,2
19,23,16,31,9,2
21,17,14,39,7,2
21,16,14,40,7,2
21,15,14,41,7,2
21,13,17,38,10,1
21,20,16,34,8,1
21,19,16,35,8,1
21,23,16,33,6,1
21,15,17,39,7,1
21,14,17,40,7,1
21,13,17,41,7,1
21,16,15,38,8,2
19,22,16,33,8,2
21,14,17,39,8,1
21,13,17,40,8,1
22,23,17,30,6,2
21,18,20,31,8,2
22,13,18,40,5,2
21,22,18,31,6,2
18,23,16,34,7,2
18,18,16,40,6,2
21,19,16,37,6,1
17,23,16,35,7,2
17,18,16,41,6,2
21,22,16,31,9,1
21,15,19,34,9,2
21,16,18,34,9,2
21,14,19,35,9,2
21,15,18,35,9,2
21,13,19,36,9,2
21,14,18,36,9,2
22,20,16,34,7,1
22,19,16,35,7,1
21,23,20,26,8,2
22,13,18,37,8,2
22,23,16,29,9,1
21,22,19,29,7,2
21,22,18,30,7,2
22,19,13,38,7,1
21,18,16,36,8,1
22,18,17,36,5,2
21,14,17,38,9,1
22,23,13,37,4,1
22,14,17,38,8,1
15,21,16,42,4,2
16,23,16,36,7,2
22,13,19,38,6,2
22,14,18,38,6,2
18,22,16,37,5,2
21,21,13,38,5,2
15,23,16,34,10,2
21,16,19,32,10,2
21,17,18,32,10,2
21,15,19,33,10,2
21,16,18,33,10,2
21,17,19,31,10,2
21,23,20,24,10,2
21,22,19,26,10,2
21,22,18,27,10,2
22,18,16,36,7,1
21,20,19,33,5,2
21,19,19,34,5,2
21,20,18,34,5,2
21,19,18,35,5,2
21,23,16,29,10,1
21,19,20,31,7,2
22,21,17,30,8,2
19,22,16,34,7,2
16,23,16,34,9,2
15,23,16,35,9,2
21,17,19,34,7,2
21,16,19,35,7,2
21,17,18,35,7,2
21,15,19,36,7,2
21,16,18,36,7,2
22,22,16,34,5,1
19,17,16,41,5,2
21,17,19,32,9,2
21,16,19,33,9,2
21,17,18,33,9,2
21,23,20,25,9,2
21,22,19,27,9,2
21,22,18,28,9,2
21,18,19,35,5,2
22,20,17,29,10,2
22,19,17,30,10,2
21,17,17,40,4,1
21,16,17,41,4,1
18,22,16,34,8,2
17,22,16,35,8,2
21,20,16,35,7,1
21,19,16,36,7,1
21,18,20,32,7,2
20,23,17,31,7,2
21,23,16,30,9,1
21,19,13,38,8,1
22,17,14,38,7,2
17,20,16,37,8,2
18,19,16,37,8,2
17,23,16,32,10,2
16,23,16,33,10,2
18,23,16,31,10,2
22,21,19,32,4,2
22,21,18,33,4,2
21,23,20,27,7,2
16,22,16,36,8,2
22,20,13,39,4,2
22,21,16,32,8,1
16,20,17,38,7,2
17,19,17,38,7,2
21,26,16,31,4,2
21,25,16,32,4,2
21,24,16,33,4,2
21,23,14,37,4,1
21,14,21,38,4,2
22,20,17,30,9,2
21,15,20,34,8,2
22,18,18,36,4,2
17,22,16,37,6,2
21,16,14,39,8,2
21,15,14,40,8,2
21,14,14,41,8,2
21,20,19,30,8,2
22,19,16,32,10,1
22,18,16,34,9,1
22,20,16,31,10,1
21,14,15,38,10,2
18,23,16,32,9,2
17,23,16,33,9,2
22,17,16,36,8,1
18,20,17,39,4,2
18,19,17,40,4,2
18,18,17,41,4,2
18,18,17,38,7,2
17,20,17,40,4,2
16,20,17,41,4,2
17,19,17,41,4,2
21,20,13,38,6,2
20,23,13,38,4,2
21,22,16,35,5,1
15,22,19,38,4,2
16,22,18,38,4,2
22,18,13,38,8,1
16,22,17,38,5,2
21,16,16,42,4,1
21,15,16,43,4,1
21,14,16,44,4,1
21,13,16,45,4,1
22,18,16,33,10,1
22,20,16,32,9,1
22,19,16,33,9,1
21,15,19,37,6,2
21,16,18,37,6,2
21,19,15,38,5,2
21,21,15,37,4,2
21,15,15,38,9,2
21,18,16,34,10,1
20,22,17,31,8,2
21,19,16,34,9,1
21,13,17,39,9,1
22,21,17,28,10,2
21,21,19,32,5,2
21,21,18,33,5,2
21,15,14,38,10,2
22,22,16,33,6,1
18,18,16,42,4,2
21,21,16,33,8,1
22,19,13,40,4,2
22,18,13,41,4,2
16,20,16,42,4,2
17,19,16,42,4,2
15,20,16,43,4,2
16,19,16,43,4,2
17,18,16,43,4,2
15,19,16,44,4,2
16,18,16,44,4,2
15,18,16,45,4,2
21,17,20,32,8,2
21,16,20,33,8,2
21,16,20,37,4,2
21,14,20,38,5,2
20,18,16,38,7,1
21,23,19,29,6,2
21,23,18,30,6,2
22,17,13,39,7,2
18,22,17,37,4,2
22,14,20,38,4,2
22,14,17,39,7,1
22,13,17,38,9,1
22,21,16,33,7,1
21,20,16,32,10,1
21,19,16,33,10,1
21,18,16,35,9,1
21,16,15,39,7,2
21,15,15,40,7,2
21,14,15,41,7,2
21,23,14,36,4,2
22,18,15,39,4,2
22,13,17,39,8,1
22,21,17,29,9,2
15,18,16,42,7,2
21,21,16,34,7,1
21,16,14,38,9,2
18,22,16,35,7,2
21,18,18,36,5,2
21,22,20,27,8,2
15,21,16,37,9,2
